Model,MAE,RMSE,MAPE,R2
Decision Tree,97711.98711992682,1011477.0947993046,8.973806090329102,0.6366735059974444
Linear Regression,185741.80807020335,1158377.4918165796,22.233643225994562,0.5234755556961831
Random Forest,104269.15075478725,1711896.5111369079,10.92368526078154,-0.040734560452714064
Gradient Boosting,223104.64321178943,4144731.693138517,30.38695195341225,-5.100673841381806
