Model,MAE,RMSE,MAPE,MdAPE,R2,TrainingSeconds,PredictionSeconds
LightGBM,284937.7094578414,1226080.4284864268,35.967626934240215,15.709497228425626,0.4661455304964903,0.8301093999762088,0.08091180003248155
Gradient Boosting Reference,176527.75436395314,1481924.6952785666,23.254171959658525,6.159408997731101,0.22010302882240307,194.14869320008438,0.4246246999828145
XGBoost,206220.842537841,1657109.9677645413,28.40729431770978,7.765983081033638,0.02481363043089979,6.009571899892762,0.10001289995852858
