Metric,Original,Engineered,Improvement
MAE,97711.98711992682,336533.40001497004,-238821.4128950432
RMSE,1011477.0947993046,13306845.401823267,-12295368.307023963
MAPE,8.973806090329102,30.323285079229034,-21.349478988899932
MdAPE,3.4347052697226736,3.488372093023256,-0.053666823300582145
R2,0.6366735059974444,-61.88327988324941,-62.51995338924685
