FeatureSet,Model,MAE,RMSE,MAPE,MdAPE,R2
Original Features,Decision Tree,97711.98711992682,1011477.0947993046,8.973806090329102,3.4347052697226736,0.6366735059974444
Engineered Features,Decision Tree,336533.40001497004,13306845.401823267,30.323285079229034,3.488372093023256,-61.88327988324941
